delhaize_name,english_query,pyfooda_match,pyfooda_alt1,pyfooda_alt2,manually_verified
SAUCISSE P&V,sausage p v,"SAUSAGE VEGGIE PIZZA BITES, SAUSAGE",CAMPBELL'S GRAVY SAUSAGE,CAMPBELL'S GRAVY SAUSAGE,False
SAUCISSON JAMBON,saucisson ham,SAUCISSON SEC,DUCK SAUCISSON DRIED SAUSAGE,HAM,False
SAUM FUM CHAU ANET,saum fum chau anet,"LEE, SATE TRIEU CHAU",KIMLAN LOU CHAU SOY SAUCE,KIMLAN SANG CHAU SOY SAUCE,False
SAUMON BELLE-VUE,salmon belle vue,"BELLE TRACKS ICE CREAM, BELLE TRACKS",BELLE TRACKS ICE CREAM,SALMON,False
SAUMON FUME,salmon fume,SALMON,SALMON,SALMON,False
SAUMON FUME DL,salmon fume dl,"DL YELLOW SUNFLOWER CAKE, YELLOW",SALMON,SALMON,False
SCHWEPPES TON,tonic water ton,TONIC WATER,TONIC WATER,TONIC WATER,False
SERVIETTE PAQUES,serviette paques,,,,False
SERVIETTES 33CM,serviettes 33cm,,,,False
SH A DEL MEN PURE,sh a del men pure,GINGERBREAD MEN,GINGERBREAD MEN,GINGERBREAD MEN,False
SHERBET 1L,sherbet,SHERBET,SHERBET,SHERBET,False
SHEZZA PATE PIZZA,shezza pasta pizza,PIZZA PASTA,"ORGANIC PIZZA PASTA SAUCE, PIZZA PASTA",CHEESY PIZZA PASTA,False
SHRIMY MACASSOU,shrimy macassou,,,,False
SN 80836950,sn 80836950,,,,False
SOMA CANOLA,soma canola,CANOLA MAYONNAISE,CANOLA OIL,CANOLA OIL,False
SOMA CHOCOLAT BIO,soma chocolate bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,10+ BIO ACTIVE MANUKA HONEY,False
SOMA CRUNCHY CREAM,soma crunchy cream,CRUNCHY ICE CREAM CONES,"CRUNCHY GHERKINS, CRUNCHY","CRUNCHY SAUCE, CRUNCHY",False
SOMA MULTIGRAIN 40,soma multigrain 40,MULTIGRAIN,"MULTIGRAIN BAGELS, MULTIGRAIN","MULTIGRAIN BAGELS, MULTIGRAIN",False
SOMI MULTIGRAIN 40,somi multigrain 40,MULTIGRAIN,"MULTIGRAIN BAGELS, MULTIGRAIN","MULTIGRAIN BAGELS, MULTIGRAIN",False
SOML BECEL HUILE,soml becel oil,OIL,ALMOND OIL,ALMOND OIL,False
SOMM SUMM. ECOS,somm summ ecos,,,,False
SONA MULTIGRAIN 40,sona multigrain 40,SONA MASOORI RICE,SONA MASOORI RICE,MULTIGRAIN,False
SPAGHETTI 500G,spaghetti,SPAGHETTI,SPAGHETTI,SPAGHETTI,False
SPINAZIE 450GR,spinazie 450gr,,,,False
SPRITAIT FRAI,sparkling water frai,SPARKLING WATER,SPARKLING WATER,SPARKLING WATER,False
SRI MARZANO,sri marzano,S. MARZANO TOMATO,SAN MARZANO TOMATOES,SRI LANKAN COCONUT MEAL KIT,False
ST MENA 1/2 PRIX,st mena 1 2 prix,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,SCALLOP ST JACQUE,False
STAEDTLER 4 FLUOS,staedtler 4 fluos,"4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE RAVIOLI, 4 CHEESE","4 CHEESE SAUCE, 4 CHEESE",False
STEAK 1/2 PRIX,steak 1 2 prix,BEEF T-BONE STEAK 1 1/8,BEEF T-BONE STEAK 1 1/8,BEEF T-BONE STEAK 1 1/8,False
STEVIA FRUITS BOIS,stevia fruits bois,STEVIA,STEVIA,STEVIA,False
STEW MARINE,stew marine,MARINE PURIFIED SALT,WILD MARINE BLUEBERRY,"STEW VEGETABLES, STEW",False
STOKBROOD,stokbrood,,,,False
SUZI CHOCO LAIT 8P,suzi choco milk 8p,MILK CHOCO BLOCK,"MILK CHOCOLATE, CHOCO","CHOCO MINIS MILK CHOCOLATE, CHOCO MINIS",False
SUZY CHOCO LAIT BP,suzy choco milk bp,MILK CHOCO BLOCK,"MILK CHOCOLATE, CHOCO","CHOCO MINIS MILK CHOCOLATE, CHOCO MINIS",False
T NOIR DE NOIR C.DO,t noir de noir c do,CHOCOLAT NOIR,PINOT NOIR,PINOT NOIR,False
T.O.I COMTE AOP,t o i comte aop,COMTE CHEESE,D E L I C I O U S POPCORN,GRUYERE AOP CHEESE,False
TACO DINN KIT,taco dinn kit,TACO DINNER KIT,TACO DINNER KIT,TACO DINNER KIT,False
TAGLIATELLE 300G,tagliatelle,TAGLIATELLE,TAGLIATELLE,"TAGLIATELLE EGG PASTA, TAGLIATELLE",False
TELLICHERRY PEPPER,tellicherry pepper,TELLICHERRY BLACK PEPPER,TELLICHERRY GROUND BLACK PEPPER,TELLICHERRY GROUND BLACK PEPPER,False
TERUG,terug,,,,False
TICKET CLIENT,ticket client,,,,False
TIMBRE(S) MASCOTTE REÇU,timbre s mascotte reçu,S SUPER COLA,SUPER S SODA,THE S COOKIE,False
TM BENNEE NOTEN,tm bennee noten,,,,False
TOAST KRAKANT HAU,toast bread krakant hau,FRENCH TOAST BREAD,TEXAS TOAST BREAD,TEXAS TOAST BREAD,False
TOAST KROKANT HAU,toast bread krokant hau,FRENCH TOAST BREAD,TEXAS TOAST BREAD,TEXAS TOAST BREAD,False
TOAST ORIGINA,toast bread origina,"ORIGINAL TEXAS TOAST BREAD, ORIGINAL",FRENCH TOAST BREAD,TEXAS TOAST BREAD,False
TOFFEE GRAPPE,toffee grappe,TOFFEE,TOFFEE,TOFFEE,False
TOM BELG GRAPP,tom belg grapp,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
"TOM BELG GRAPP 1,055 KG X 3,49/ KG",tom belg grapp 1 055 kg x 3 49 kg,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,SWORDFISH LOINS 2-6 KG,False
TOM.CERISES,tom cherry,"CHERRY TOMATOES, CHERRY",CHERRY TOMATOES,CHERRY TOMATOES,False
TOMAT TOAST ROMARIN,tomat toast bread romarin,FRENCH TOAST BREAD,TEXAS TOAST BREAD,TEXAS TOAST BREAD,False
TOMATE CERISE 400G,tomato cherry,"CHERRY TOMATO BRUSCHETTA, CHERRY TOMATO","CHERRY TOMATO PASSATA, CHERRY TOMATO","CHERRY TOMATO SAUCE, CHERRY TOMATO",False
TOMATE CERISE GRAP,tomato cherry grap,"CHERRY TOMATO BRUSCHETTA, CHERRY TOMATO","CHERRY TOMATO PASSATA, CHERRY TOMATO","CHERRY TOMATO SAUCE, CHERRY TOMATO",False
TOMATE GRAPPE,tomato grappe,TOMATO,TOMATO,"TOMATO BASIL, TOMATO",False
TOMATE SAN MARZANO,tomato san marzano,SAN MARZANO TOMATOES,SAN MARZANO TOMATO PASTA SAUCE,"MARINARA, SAN MARZANO TOMATO PASTA SAUCE",False
TOMATE SAV GRAPPE,tomato sav grappe,CKY SAV CHIC W/RIC,CKY SAV POT RST,TOMATO,False
TOMATE SAY GRAPPE,tomato say grappe,"SAY CHEEZE! COCONUT CHIPS, SAY CHEEZE!",SAY CHEESE CRACKERS,TOMATO,False
TOMATES CERISE 1.5KG,tomato cherry 1,"CHERRY TOMATO BRUSCHETTA, CHERRY TOMATO","CHERRY TOMATO PASSATA, CHERRY TOMATO","CHERRY TOMATO SAUCE, CHERRY TOMATO",False
TOMATES CERISE 1KG,tomato cherry,"CHERRY TOMATO BRUSCHETTA, CHERRY TOMATO","CHERRY TOMATO PASSATA, CHERRY TOMATO","CHERRY TOMATO SAUCE, CHERRY TOMATO",False
TOMATES GRAPPE,tomato grappe,TOMATO,TOMATO,"TOMATO BASIL, TOMATO",False
TORTELLIS BASIL,tortellis basil,BASIL,BASIL,BASIL,False
TORTELLO TOM,tortello tom,"TOM TOM SAUCE, TOM TOM",TOM TOM SAUCE,Tom Collins,False
TORTELLONI BASILI,tortelloni basili,TORTELLONI,TORTELLONI,TORTELLONI,False
TORTILLA BIO,tortilla bio,ZOO BIO PASTA,TORTILLA,TORTILLA,False
TOTAAL,totaal,,,,False
TOTAL,total,TOTAL CANDY,TOTAL SEASONING,TOTAL SEASONING,False
TOTAL POINTS TICKET,total points ticket,SAZONADOR TOTAL,TOTAL CANDY,TOTAL SEASONING,False
TOTAL TIMBRE(S) TICKET MASCOTTE,total timbre s ticket mascotte,SAZONADOR TOTAL,TOTAL CANDY,TOTAL SEASONING,False
TOURNEDOS BOEUF,tournedos beef,BEEF,BEEF,BEEF,False
TR.ORIGINAL 180G,tr original,"ORIGINAL NUTRITIONSHAKE, ORIGINAL","ORIGINAL STRING, ORIGINAL",ORIGINAL STRING,False
TRAITEUR,traiteur,,,,False
UDON NOUILLES,udon nouilles,UDON,"UDON ORGANIC NOODLES, UDON","UDON STIR-FRY NOODLES, UDON",False
UL DOUX SH CAMIL,ul doux sh camil,"DOUX SOUTH, CREOLE MUSTARD","DOUX SOUTH, PICKLED BLACK-EYED PEAS","DOUX SOUTH, SPICY CUCUMBER PICKLES",False
ULTRA DOUX SH MERV,ultra doux sh merv,"DOUX SOUTH, CREOLE MUSTARD",ULTRA APRICOTS,ULTRA CRANBERRIES,False
VEET CREME DEP.JAM,veet cream dep jam,JAM,JAM,JAM,False
VEET MINIMA VISAGE,veet minima visage,,,,False
VEGAN GOUDA 120GR,vegan gouda cheese 120gr,GOUDA  CHEESE,GOUDA CHEESE,GOUDA CHEESE,False
VELDSLAA,veldslaa,,,,False
VERMICEL LAIT,vermicel milk,MILK,MILK,MILK,False
VIDANGE VAL 0.6E,vidange val 0 6e,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
VIDAVAL VAL 1.2E,vidaval val 1 2e,CONVERSATION HEARTS VAL PALS CANDY,VAL PALS WITH CANDY CONVERSATIONAL HEARTS,1 TO 1 BAKING FLOUR,False
VIDEOTEC VAL 0.6E,videotec val 0 6e,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
VILEDA EPON UNIVER,vileda epon univer,,,,False
VINIGRE VIN BLANC,vinigre vin blanc,"GOYA, QUESO BLANC","VIN ROUGE RED WINE VINAIGRETTE, VIN ROUGE",BLANC GRUE GRUYERE CHEESE,False
VLINDERS,vlinders,,,,False
"VLINDERS 0,655 KG X",vlinders 0 655 kg x,0,WONDER NOODLES 0 NET CARBS 0 CALORIES ZITI,0 CALORIE ASPARTAME SWEETENER,False
VOLAILLE/GIBIER,volaille gibier,,,,False
WASABI GREEN 400G,wasabi green,"WASABI GREEN PEAS, WASABI","WASABI GREEN PEAS, WASABI",WASABI GREEN PEAS,False
WRAP TORTILLA,wrap tortilla,TORTILLA WRAP KIT,TORTILLA WRAPS,TORTILLA WRAPS,False
WRAPS DE BLE,wrap tortilla de wheat,TORTILLA WRAP KIT,WHEAT TORTILLA,"WHEAT TORTILLA WRAPS, WHEAT",False
YAOURT MIGRE BIO,yogurt migre bio,ZOO BIO PASTA,BIO ACTIVE MANUKA HONEY,YOGURT,False
ZESPRI KINE GOLD D,zespri kine gold d,"Kiwifruit, ZESPRI SunGold, raw","GOLD CAKE, GOLD","GOLD POTATOES, GOLD",False
ZESPRI KIWI GOLD,zespri kiwi gold,"Kiwifruit, ZESPRI SunGold, raw",GOLD KIWI BLEND REVIVER,KIWI,False
ZIEM A 1//2 PRIX,ziem a 1 2 prix,A,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,False
ZIEME A 1/2 PRIX,zieme a 1 2 prix,A,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,False
ZIJNE 1/2 PRIX,zijne 1 2 prix,2 IN 1 SPOUT SPRINKLE MIX,SPLITS 2 IN 1 SOFT CHEWS,56 PUFF PASTRY MINI HORN 1 x 2,False
